domain,tos_url,tos_scraping,tos_condition_type,tos_excerpt,robots_scraping,final_verdict,website_category
hoodamath.com,,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
pebblego.com,,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
farming-simulator.com,https://farming-simulator.com/terms,permissible,,No ToS content available,permissible,permissible,Entertainment
apartmentguide.com,https://www.apartmentguide.com/legal/do-not-sell/,permissible,,No scraping-related provisions found.,permissible,permissible,Finance & Business
paycor.com,https://www.paycor.com/privacy-policy/,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
ncsecu.org,,permissible,,No ToS content available,permissible,permissible,Finance & Business
ar15.com,https://ar15.com/terms,permissible,,No scraping-related provisions found.,permissible,permissible,Social & Forums
beebom.com,https://beebom.com/privacy-policy/,permissible,,No scraping-related provisions found.,permissible,permissible,News & Media
kiddle.co,https://www.kiddle.co/privacy.php,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
ftb.ca.gov,https://www.ca.gov/legal/conditions-of-use/,permissible,,"In general, information presented on this website, unless otherwise indicated,
  is considered in the public domain. It may be distributed or copied as
  permitted by law. However, the State does make use of copyrighted data (e.g.,
  photographs) which may require additional permissions prior to your use.",permissible,permissible,Government & Nonprofit
culvers.com,https://www.culvers.com/legal/privacy-policy,permissible,,No scraping-related provisions found.,permissible,permissible,Health & Lifestyle
kajabi.com,https://templates.kajabi.com/pages/seller-terms-conditions,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
georgia.gov,https://georgia.gov/privacysecurity,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
autonation.com,https://www.autonation.com/terms-of-use/terms,permissible,,No ToS content available,permissible,permissible,E-commerce & Retail
studysmarter.co.uk,https://www.vaia.com/en-us/terms/,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
csun.edu,https://srcportal.csun.edu/Home/Privacy,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
proxibid.com,https://proxibid.com/terms-of-service,permissible,,No ToS content available,permissible,permissible,E-commerce & Retail
therapservices.net,https://www.therapservices.net/privacy-policy/,permissible,,No scraping-related provisions found.,permissible,permissible,Health & Lifestyle
cigarsinternational.com,https://www.cigarsinternational.com/help/privacy-policy/18/,permissible,,No scraping-related provisions found.,permissible,permissible,E-commerce & Retail
dofustream.cloud,,permissible,,No ToS content available,permissible,permissible,Entertainment
cfna.com,https://www.cfna.com/legal/mycfnarewards/terms-conditions,permissible,,No scraping-related provisions found.,permissible,permissible,Finance & Business
mapcarta.com,,permissible,,No ToS content available,permissible,permissible,Tools & Tech
fbschedules.com,,permissible,,No ToS content available,permissible,permissible,News & Media
boredpanda.com,https://www.boredpanda.com/weird-things-terms-and-conditions/,permissible,,No scraping-related provisions found.,permissible,permissible,News & Media
godlikeproductions.com,,permissible,,No ToS content available,permissible,permissible,Social & Forums
ezpassnj.com,https://www.ezpassnj.com/en/other/app_privacy_policy.html,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
d2jsp.org,,permissible,,No ToS content available,permissible,permissible,Entertainment
pubmed.ncbi.nlm.nih.gov,https://pubmed.ncbi.nlm.nih.gov/37456712/,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
ga.gov,,permissible,,No ToS content available,permissible,permissible,Government & Nonprofit
i-ready.com,,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
cnsb.usps.com,https://about.usps.com/who/legal/privacy-policy/,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
cjponyparts.com,https://www.cjponyparts.com/terms-of-use/a/110/,permissible,,No scraping-related provisions found.,permissible,permissible,E-commerce & Retail
charm.li,,permissible,,No ToS content available,permissible,permissible,Entertainment
adblockplus.org,https://adblockplus.org/terms,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
monopolygo.com,,permissible,,No ToS content available,permissible,permissible,Entertainment
colorado.edu,https://www.colorado.edu/compliance/policies/licensing-policy,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
ssa.gov,https://www.ssa.gov/help/di/TOS.html,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
serebii.net,https://forums.serebii.net/help/terms/,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
linewize.net,,permissible,,No ToS content available,permissible,permissible,Tools & Tech
