User-agent: *
Sitemap: https://business.google.com/sitemaps/sitemap.xml
Allow: /$
Allow: /create$
Allow: /website/
Allow: /v/
Allow: /advisors/
Allow: /favicon.ico
Allow: /sitemaps/
Allow: /static/

Allow: /aunz/
Allow: /ar-all/
Allow: /br/
Allow: /ca-en/
Allow: /ca-fr/
Allow: /cn/
Allow: /cz/
Allow: /de/
Allow: /en-all/
Allow: /es-all/
Allow: /es/
Allow: /fr/
Allow: /id/
Allow: /il/
Allow: /in/
Allow: /it/
Allow: /jp/
Allow: /kr/
Allow: /nl/
Allow: /pl/
Allow: /ro/
Allow: /ru-all/
Allow: /se/
Allow: /th/
Allow: /tr/
Allow: /tw/
Allow: /ua/
Allow: /uk/
Allow: /us/
Allow: /vn/

Disallow: /
