User-agent: *
Disallow: /new-products-ecomm-hiding/
Disallow: /ecomm-hiding-place
Disallow: /*search*
Disallow: /*%7C*
Disallow: /*prefn2*
Disallow: /*prefn3*
Disallow: /*prefn4*
Disallow: /*prefn5*
Disallow: /*prefn6*
Disallow: /*prefn7*
Disallow: /*prefn8*
Disallow: /*cart*
Disallow: /*compare*
Disallow: /*COBilling*
Disallow: /*COShipping*
Disallow: /*project-list*
Disallow: /*view-project-list*
Disallow: /*demandware.store* 
Disallow: /*available-in-store-only*
Disallow: /*quickview*
Disallow: /*ecomm-hiding-place*
Disallow: /*srule*
Disallow: /*page?dwcont=*
Disallow: /*?dwcont=*
Disallow: /*?keywordBeforeRedirect=*
Disallow: /*pmin=*
Disallow: /*pmax=*
Sitemap: https://www.flooranddecor.com/sitemap_index.xml
