User-agent: * 
Sitemap: https://www.stubhub.com/new-sitemap/us/sitemap-US-en-index.xml
Disallow: /secure/
Disallow: /Secure/
Disallow: /AjaxService/
Disallow: /landingpage/
Disallow: /help/privacy/
Disallow: /help/cookies/
Disallow: /help/cookies-list/
Disallow: /ww/secure/
Disallow: /ww/Secure/
Disallow: /ww/AjaxService/
Disallow: /ww/landingpage/
Disallow: /ww/help/privacy/
Disallow: /ww/help/cookies/
Disallow: /ww/help/cookies-list/
Disallow: /fi/secure/
Disallow: /fi/Secure/
Disallow: /fi/AjaxService/
Disallow: /fi/landingpage/
Disallow: /fi/help/privacy/
Disallow: /fi/help/cookies/
Disallow: /fi/help/cookies-list/
Disallow: /no/secure/
Disallow: /no/Secure/
Disallow: /no/AjaxService/
Disallow: /no/landingpage/
Disallow: /no/help/privacy/
Disallow: /no/help/cookies/
Disallow: /no/help/cookies-list/
Disallow: /ru/secure/
Disallow: /ru/Secure/
Disallow: /ru/AjaxService/
Disallow: /ru/landingpage/
Disallow: /ru/help/privacy/
Disallow: /ru/help/cookies/
Disallow: /ru/help/cookies-list/
Disallow: /au/secure/
Disallow: /au/Secure/
Disallow: /au/AjaxService/
Disallow: /au/landingpage/
Disallow: /au/help/privacy/
Disallow: /au/help/cookies/
Disallow: /au/help/cookies-list/
Disallow: /br/secure/
Disallow: /br/Secure/
Disallow: /br/AjaxService/
Disallow: /br/landingpage/
Disallow: /br/help/privacy/
Disallow: /br/help/cookies/
Disallow: /br/help/cookies-list/
Disallow: /ar/secure/
Disallow: /ar/Secure/
Disallow: /ar/AjaxService/
Disallow: /ar/landingpage/
Disallow: /ar/help/privacy/
Disallow: /ar/help/cookies/
Disallow: /ar/help/cookies-list/
Disallow: /psg/secure/
Disallow: /psg/Secure/
Disallow: /psg/AjaxService/
Disallow: /psg/landingpage/
Disallow: /psg/help/privacy/
Disallow: /psg/help/cookies/
Disallow: /psg/help/cookies-list/
Disallow: /cl/secure/
Disallow: /cl/Secure/
Disallow: /cl/AjaxService/
Disallow: /cl/landingpage/
Disallow: /cl/help/privacy/
Disallow: /cl/help/cookies/
Disallow: /cl/help/cookies-list/
Disallow: /ae/secure/
Disallow: /ae/Secure/
Disallow: /ae/AjaxService/
Disallow: /ae/landingpage/
Disallow: /ae/help/privacy/
Disallow: /ae/help/cookies/
Disallow: /ae/help/cookies-list/
Disallow: /sg/secure/
Disallow: /sg/Secure/
Disallow: /sg/AjaxService/
Disallow: /sg/landingpage/
Disallow: /sg/help/privacy/
Disallow: /sg/help/cookies/
Disallow: /sg/help/cookies-list/
Disallow: /hk/secure/
Disallow: /hk/Secure/
Disallow: /hk/AjaxService/
Disallow: /hk/landingpage/
Disallow: /hk/help/privacy/
Disallow: /hk/help/cookies/
Disallow: /hk/help/cookies-list/
Disallow: /in/secure/
Disallow: /in/Secure/
Disallow: /in/AjaxService/
Disallow: /in/landingpage/
Disallow: /in/help/privacy/
Disallow: /in/help/cookies/
Disallow: /in/help/cookies-list/
Disallow: /nz/secure/
Disallow: /nz/Secure/
Disallow: /nz/AjaxService/
Disallow: /nz/landingpage/
Disallow: /nz/help/privacy/
Disallow: /nz/help/cookies/
Disallow: /nz/help/cookies-list/
Disallow: /pe/secure/
Disallow: /pe/Secure/
Disallow: /pe/AjaxService/
Disallow: /pe/landingpage/
Disallow: /pe/help/privacy/
Disallow: /pe/help/cookies/
Disallow: /pe/help/cookies-list/
Disallow: /co/secure/
Disallow: /co/Secure/
Disallow: /co/AjaxService/
Disallow: /co/landingpage/
Disallow: /co/help/privacy/
Disallow: /co/help/cookies/
Disallow: /co/help/cookies-list/
Disallow: /ve/secure/
Disallow: /ve/Secure/
Disallow: /ve/AjaxService/
Disallow: /ve/landingpage/
Disallow: /ve/help/privacy/
Disallow: /ve/help/cookies/
Disallow: /ve/help/cookies-list/
Disallow: /py/secure/
Disallow: /py/Secure/
Disallow: /py/AjaxService/
Disallow: /py/landingpage/
Disallow: /py/help/privacy/
Disallow: /py/help/cookies/
Disallow: /py/help/cookies-list/
Disallow: /uy/secure/
Disallow: /uy/Secure/
Disallow: /uy/AjaxService/
Disallow: /uy/landingpage/
Disallow: /uy/help/privacy/
Disallow: /uy/help/cookies/
Disallow: /uy/help/cookies-list/
Disallow: /bo/secure/
Disallow: /bo/Secure/
Disallow: /bo/AjaxService/
Disallow: /bo/landingpage/
Disallow: /bo/help/privacy/
Disallow: /bo/help/cookies/
Disallow: /bo/help/cookies-list/
Disallow: /ec/secure/
Disallow: /ec/Secure/
Disallow: /ec/AjaxService/
Disallow: /ec/landingpage/
Disallow: /ec/help/privacy/
Disallow: /ec/help/cookies/
Disallow: /ec/help/cookies-list/
Disallow: /do/secure/
Disallow: /do/Secure/
Disallow: /do/AjaxService/
Disallow: /do/landingpage/
Disallow: /do/help/privacy/
Disallow: /do/help/cookies/
Disallow: /do/help/cookies-list/
Disallow: /pr/secure/
Disallow: /pr/Secure/
Disallow: /pr/AjaxService/
Disallow: /pr/landingpage/
Disallow: /pr/help/privacy/
Disallow: /pr/help/cookies/
Disallow: /pr/help/cookies-list/
Disallow: /id/secure/
Disallow: /id/Secure/
Disallow: /id/AjaxService/
Disallow: /id/landingpage/
Disallow: /id/help/privacy/
Disallow: /id/help/cookies/
Disallow: /id/help/cookies-list/
Disallow: /my/secure/
Disallow: /my/Secure/
Disallow: /my/AjaxService/
Disallow: /my/landingpage/
Disallow: /my/help/privacy/
Disallow: /my/help/cookies/
Disallow: /my/help/cookies-list/
Disallow: /sell/secure/
Disallow: /sell/Secure/
Disallow: /sell/AjaxService/
Disallow: /sell/landingpage/
Disallow: /sell/help/privacy/
Disallow: /sell/help/cookies/
Disallow: /sell/help/cookies-list/
Disallow: /kr/secure/
Disallow: /kr/Secure/
Disallow: /kr/AjaxService/
Disallow: /kr/landingpage/
Disallow: /kr/help/privacy/
Disallow: /kr/help/cookies/
Disallow: /kr/help/cookies-list/
Disallow: /sk/secure/
Disallow: /sk/Secure/
Disallow: /sk/AjaxService/
Disallow: /sk/landingpage/
Disallow: /sk/help/privacy/
Disallow: /sk/help/cookies/
Disallow: /sk/help/cookies-list/
Disallow: /cn/secure/
Disallow: /cn/Secure/
Disallow: /cn/AjaxService/
Disallow: /cn/landingpage/
Disallow: /cn/help/privacy/
Disallow: /cn/help/cookies/
Disallow: /cn/help/cookies-list/
Disallow: /qtrax/secure/
Disallow: /qtrax/Secure/
Disallow: /qtrax/AjaxService/
Disallow: /qtrax/landingpage/
Disallow: /qtrax/help/privacy/
Disallow: /qtrax/help/cookies/
Disallow: /qtrax/help/cookies-list/
Disallow: /il/secure/
Disallow: /il/Secure/
Disallow: /il/AjaxService/
Disallow: /il/landingpage/
Disallow: /il/help/privacy/
Disallow: /il/help/cookies/
Disallow: /il/help/cookies-list/
Disallow: /qa/secure/
Disallow: /qa/Secure/
Disallow: /qa/AjaxService/
Disallow: /qa/landingpage/
Disallow: /qa/help/privacy/
Disallow: /qa/help/cookies/
Disallow: /qa/help/cookies-list/
Disallow: /bh/secure/
Disallow: /bh/Secure/
Disallow: /bh/AjaxService/
Disallow: /bh/landingpage/
Disallow: /bh/help/privacy/
Disallow: /bh/help/cookies/
Disallow: /bh/help/cookies-list/
Disallow: /sa/secure/
Disallow: /sa/Secure/
Disallow: /sa/AjaxService/
Disallow: /sa/landingpage/
Disallow: /sa/help/privacy/
Disallow: /sa/help/cookies/
Disallow: /sa/help/cookies-list/
Disallow: /kw/secure/
Disallow: /kw/Secure/
Disallow: /kw/AjaxService/
Disallow: /kw/landingpage/
Disallow: /kw/help/privacy/
Disallow: /kw/help/cookies/
Disallow: /kw/help/cookies-list/
Disallow: /tw/secure/
Disallow: /tw/Secure/
Disallow: /tw/AjaxService/
Disallow: /tw/landingpage/
Disallow: /tw/help/privacy/
Disallow: /tw/help/cookies/
Disallow: /tw/help/cookies-list/
Disallow: /si/secure/
Disallow: /si/Secure/
Disallow: /si/AjaxService/
Disallow: /si/landingpage/
Disallow: /si/help/privacy/
Disallow: /si/help/cookies/
Disallow: /si/help/cookies-list/
Disallow: /ph/secure/
Disallow: /ph/Secure/
Disallow: /ph/AjaxService/
Disallow: /ph/landingpage/
Disallow: /ph/help/privacy/
Disallow: /ph/help/cookies/
Disallow: /ph/help/cookies-list/
Disallow: /cz/secure/
Disallow: /cz/Secure/
Disallow: /cz/AjaxService/
Disallow: /cz/landingpage/
Disallow: /cz/help/privacy/
Disallow: /cz/help/cookies/
Disallow: /cz/help/cookies-list/
Disallow: /ro/secure/
Disallow: /ro/Secure/
Disallow: /ro/AjaxService/
Disallow: /ro/landingpage/
Disallow: /ro/help/privacy/
Disallow: /ro/help/cookies/
Disallow: /ro/help/cookies-list/
Disallow: /hr/secure/
Disallow: /hr/Secure/
Disallow: /hr/AjaxService/
Disallow: /hr/landingpage/
Disallow: /hr/help/privacy/
Disallow: /hr/help/cookies/
Disallow: /hr/help/cookies-list/
Disallow: /th/secure/
Disallow: /th/Secure/
Disallow: /th/AjaxService/
Disallow: /th/landingpage/
Disallow: /th/help/privacy/
Disallow: /th/help/cookies/
Disallow: /th/help/cookies-list/
Disallow: /ua/secure/
Disallow: /ua/Secure/
Disallow: /ua/AjaxService/
Disallow: /ua/landingpage/
Disallow: /ua/help/privacy/
Disallow: /ua/help/cookies/
Disallow: /ua/help/cookies-list/
Disallow: /cr/secure/
Disallow: /cr/Secure/
Disallow: /cr/AjaxService/
Disallow: /cr/landingpage/
Disallow: /cr/help/privacy/
Disallow: /cr/help/cookies/
Disallow: /cr/help/cookies-list/
Disallow: /pa/secure/
Disallow: /pa/Secure/
Disallow: /pa/AjaxService/
Disallow: /pa/landingpage/
Disallow: /pa/help/privacy/
Disallow: /pa/help/cookies/
Disallow: /pa/help/cookies-list/
Disallow: /bg/secure/
Disallow: /bg/Secure/
Disallow: /bg/AjaxService/
Disallow: /bg/landingpage/
Disallow: /bg/help/privacy/
Disallow: /bg/help/cookies/
Disallow: /bg/help/cookies-list/
Disallow: /rs/secure/
Disallow: /rs/Secure/
Disallow: /rs/AjaxService/
Disallow: /rs/landingpage/
Disallow: /rs/help/privacy/
Disallow: /rs/help/cookies/
Disallow: /rs/help/cookies-list/
Disallow: /by/secure/
Disallow: /by/Secure/
Disallow: /by/AjaxService/
Disallow: /by/landingpage/
Disallow: /by/help/privacy/
Disallow: /by/help/cookies/
Disallow: /by/help/cookies-list/
Disallow: /ba/secure/
Disallow: /ba/Secure/
Disallow: /ba/AjaxService/
Disallow: /ba/landingpage/
Disallow: /ba/help/privacy/
Disallow: /ba/help/cookies/
Disallow: /ba/help/cookies-list/
Disallow: /me/secure/
Disallow: /me/Secure/
Disallow: /me/AjaxService/
Disallow: /me/landingpage/
Disallow: /me/help/privacy/
